COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_M_smithii	p_M_intestini	N_M_smithii	N_M_intestini
"Murein L,D-transpeptidase YcbB/YkuD (YcbB) (PDB:6NTW) (PUBMED:18456808)"	2.375935454	0.123217768	0.645884929	M. intestini	COG2989	GC_00003744	0	0.0385	61	26
NADH:ubiquinone oxidoreductase subunit 2 (chain N) (NuoN) (PDB:4HE8)	2.375935454	0.123217768	0.645884929	M. intestini	COG1007	GC_00003608	0	0.0385	61	26
"FoF1-type ATP synthase, alpha subunit (AtpA) (PDB:3OAA)"	2.375935454	0.123217768	0.645884929	M. intestini	COG0056	GC_00003354	0	0.0385	61	26
"DNA-binding transcriptional regulator, LacI/PurR family (PurR) (PDB:1BDH)"	2.375935454	0.123217768	0.645884929	M. intestini	COG1609	"GC_00003650, GC_00003872"	0	0.0385	61	26
Peroxiredoxin (Bcp) (PDB:5IPH)	2.375935454	0.123217768	0.645884929	M. intestini	COG1225	GC_00003777	0	0.0385	61	26
"DNA-binding transcriptional regulator SgrR of sgrS sRNA, contains a MarR-type HTH domain and a periplasmic-type solute-binding domain (SgrR)"	2.375935454	0.123217768	0.645884929	M. intestini	COG4533	GC_00003889	0	0.0385	61	26
Thiol-disulfide isomerase or thioredoxin (TrxA) (PDB:1XFL)	2.375935454	0.123217768	0.645884929	M. intestini	COG0526	GC_00003985	0	0.0385	61	26
"DNA polymerase III, epsilon subunit or related 3'-5' exonuclease (DnaQ) (PDB:1J53)"	2.375935454	0.123217768	0.645884929	M. intestini	COG0847	GC_00003405	0	0.0385	61	26
"Adenylate cyclase, class I (CyaA)"	2.375935454	0.123217768	0.645884929	M. intestini	COG3072	GC_00003774	0	0.0385	61	26
16S rRNA U1498 N3-methylase RsmE (RsmE) (PDB:1NXZ)	2.375935454	0.123217768	0.645884929	M. intestini	COG1385	GC_00003340	0	0.0385	61	26
"NADH pyrophosphatase NudC, Nudix superfamily (NPY1)"	2.375935454	0.123217768	0.645884929	M. intestini	COG2816	GC_00004013	0	0.0385	61	26
Anaerobic selenocysteine-containing dehydrogenase (BisC) (PDB:1EU1)	2.375935454	0.123217768	0.645884929	M. intestini	COG0243	GC_00004081	0	0.0385	61	26
Nitrate reductase cytochrome c-type subunit NapB (NapB) (PDB:1JNI)	2.375935454	0.123217768	0.645884929	M. intestini	COG3043	GC_00003703	0	0.0385	61	26
"Transposase and inactivated derivatives, TnpA family"	2.375935454	0.123217768	0.645884929	M. intestini	COG4644	"GC_00003486, GC_00003531, GC_00003562"	0	0.0385	61	26
"Mg2+ and Co2+ transporter CorC, contains CBS pair and CorC-HlyC domains (CorC) (PDB:4HG0) (PUBMED:1779764)"	2.375935454	0.123217768	0.645884929	M. intestini	COG4535	GC_00003673	0	0.0385	61	26
"Acyl carrier protein (AcpP) (PDB:1ACP)!!!EntF, seryl-AMP synthase component  of non-ribosomal peptide synthetase (EntF) (PDB:5ES5)!!!NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)!!!Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG (UbiE) (PDB:4OBW)!!!Thioesterase domain of type I polyketide synthase or non-ribosomal peptide synthetase (EntF2) (PDB:5JA1)!!!Acyl transferase domain in polyketide synthase (PKS) enzymes (PksD) (PDB:6IYO)"	2.375935454	0.123217768	0.645884929	M. intestini	COG0236!!!COG1020!!!COG1028!!!COG2226!!!COG3319!!!COG3321	"GC_00003821, GC_00003828"	0	0.0385	61	26
Dihydroorotate dehydrogenase (PyrD) (PDB:1GT8)!!!NADPH-dependent glutamate synthase beta chain or related oxidoreductase (GltD) (PDB:1H7X)!!!Ferredoxin (NapF) (PDB:6FAH)	2.375935454	0.123217768	0.645884929	M. intestini	COG0167!!!COG0493!!!COG1145	GC_00003450	0	0.0385	61	26
"Protein/nucleotide deglycase, PfpI/YajL/DJ-1 family (repair of methylglyoxal-glycated proteins and nucleic acids) (YajL) (PDB:5SY4) (PUBMED:19028889;28596309;26678554)"	2.375935454	0.123217768	0.645884929	M. intestini	COG0693	GC_00003416	0	0.0385	61	26
Polyferredoxin NapH (NapH) (PUBMED:27322068)	2.375935454	0.123217768	0.645884929	M. intestini	COG0348	GC_00003680	0	0.0385	61	26
Predicted GTPase (YeeP)	2.375935454	0.123217768	0.645884929	M. intestini	COG3596	GC_00003840	0	0.0385	61	26
"GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants (GGDEF) (PDB:6D9M)!!!EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant) (EAL) (PDB:2BAS)"	2.375935454	0.123217768	0.645884929	M. intestini	COG2199!!!COG2200	GC_00003603	0	0.0385	61	26
Peptodoglycan polymerase FtsW/RodA/SpoVE (FtsW) (PDB:6BAR) (PUBMED:30692671)	2.375935454	0.123217768	0.645884929	M. intestini	COG0772	GC_00003722	0	0.0385	61	26
"DNA-binding transcriptional regulator, FadR family (FadR) (PDB:1E2X)"	2.375935454	0.123217768	0.645884929	M. intestini	COG2186	"GC_00003384, GC_00003961"	0	0.0385	61	26
"Phospholipid biosynthesis protein PlsY, probable glycerol-3-phosphate acyltransferase (PlsY) (PDB:5XJ5) (PUBMED:29684280)"	2.375935454	0.123217768	0.645884929	M. intestini	COG0344	GC_00003446	0	0.0385	61	26
Recombinational DNA repair ATPase RecF (RecF) (PDB:5Z67)	2.375935454	0.123217768	0.645884929	M. intestini	COG1195	GC_00003644	0	0.0385	61	26
Cyanate permease (CynX)	2.375935454	0.123217768	0.645884929	M. intestini	COG2807	GC_00004100	0	0.0385	61	26
Recombinational DNA repair protein RecT (RecT)	2.375935454	0.123217768	0.645884929	M. intestini	COG3723	GC_00003490	0	0.0385	61	26
"P pilus assembly protein, chaperone PapD (FimC) (PDB:1BF8)"	2.375935454	0.123217768	0.645884929	M. intestini	COG3121	GC_00003600	0	0.0385	61	26
Uncharacterized domain associated with phage/plasmid primase	2.375935454	0.123217768	0.645884929	M. intestini	COG4643	GC_00003842	0	0.0385	61	26
"N-acetylglutamate synthase or related acetyltransferase, GNAT family (ArgA) (PDB:2R98)"	2.375935454	0.123217768	0.645884929	M. intestini	COG1246	GC_00003445	0	0.0385	61	26
Threonine/homoserine/homoserine lactone efflux protein (RhtB)	2.375935454	0.123217768	0.645884929	M. intestini	COG1280	GC_00003548	0	0.0385	61	26
Phosphoglucomutase/phosphomannomutase (Pgm) (PDB:1C47) (PUBMED:30938049)	2.375935454	0.123217768	0.645884929	M. intestini	COG0033	GC_00004074	0	0.0385	61	26
High-affinity Fe2+/Pb2+ permease (FTR1)	2.375935454	0.123217768	0.645884929	M. intestini	COG0672	GC_00004103	0	0.0385	61	26
Fe2+ or Zn2+ uptake regulation protein Fur/Zur (Fur) (PDB:1MZB)	2.375935454	0.123217768	0.645884929	M. intestini	COG0735	GC_00003797	0	0.0385	61	26
Preprotein translocase subunit SecD (SecD) (PDB:3AQP) (PUBMED:26100040)	2.375935454	0.123217768	0.645884929	M. intestini	COG0342	GC_00004152	0	0.0385	61	26
Regulator of sigma D (Rsd) (PDB:2P7V)	2.375935454	0.123217768	0.645884929	M. intestini	COG3160	GC_00003509	0	0.0385	61	26
L-rhamnose isomerase (RhaA) (PDB:1D8W)	2.375935454	0.123217768	0.645884929	M. intestini	COG4806	GC_00004113	0	0.0385	61	26
"Membrane H+-translocase/NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit (NuoL) (PDB:3RKO)"	2.375935454	0.123217768	0.645884929	M. intestini	COG1009	"GC_00003683, GC_00003958"	0	0.0385	61	26
"ABC-type Fe3+ transport system, permease component (FbpB)"	2.375935454	0.123217768	0.645884929	M. intestini	COG1178	GC_00003431	0	0.0385	61	26
Phosphopentomutase (DeoB) (PDB:3UN2)	2.375935454	0.123217768	0.645884929	M. intestini	COG1015	GC_00003305	0	0.0385	61	26
Chromate transport protein ChrA (ChrA)	2.375935454	0.123217768	0.645884929	M. intestini	COG2059	GC_00003551	0	0.0385	61	26
Uncharacterized membrane protein YeiB (YeiB)	2.375935454	0.123217768	0.645884929	M. intestini	COG2311	GC_00004009	0	0.0385	61	26
"Transposase and inactivated derivatives, IS30 family (Tra8)"	2.375935454	0.123217768	0.645884929	M. intestini	COG2826	GC_00003332	0	0.0385	61	26
Dihydroneopterin aldolase (FolB) (PDB:1B9L)	2.375935454	0.123217768	0.645884929	M. intestini	COG1539	GC_00003261	0	0.0385	61	26
"Endo-1,4-beta-D-glucanase Y (BcsZ) (PDB:1CEM)"	2.375935454	0.123217768	0.645884929	M. intestini	COG3405	"GC_00003424, GC_00003670"	0	0.0385	61	26
Predicted component of the type VI protein secretion system (PDB:5M2Y)	2.375935454	0.123217768	0.645884929	M. intestini	COG3522	GC_00004161	0	0.0385	61	26
"EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant) (EAL) (PDB:2BAS)"	2.375935454	0.123217768	0.645884929	M. intestini	COG2200	GC_00003483	0	0.0385	61	26
"Transcription elongation factor, GreA/GreB family (GreA) (PDB:1GRJ)"	2.375935454	0.123217768	0.645884929	M. intestini	COG0782	GC_00003955	0	0.0385	61	26
Dethiobiotin synthetase (BioD) (PDB:1DTS)	2.375935454	0.123217768	0.645884929	M. intestini	COG0132	GC_00003457	0	0.0385	61	26
tRNA G18 (ribose-2'-O)-methylase SpoU (SpoU) (PDB:1GZ0)	2.375935454	0.123217768	0.645884929	M. intestini	COG0566	GC_00003501	0	0.0385	61	26
Disulfide bond formation protein DsbB (DsbB) (PDB:2LTQ)	2.375935454	0.123217768	0.645884929	M. intestini	COG1495	GC_00004076	0	0.0385	61	26
"Predicted nucleotidyltransferase, MJ0604 family (MJ0604) (PDB:5YEP)"	2.375935454	0.123217768	0.645884929	M. intestini	COG1708	GC_00003586	0	0.0385	61	26
Site-specific recombinase XerC (XerC)	2.375935454	0.123217768	0.645884929	M. intestini	COG4973	GC_00003799	0	0.0385	61	26
Outer membrane protein TolC (TolC) (PDB:1EK9)	2.375935454	0.123217768	0.645884929	M. intestini	COG1538	GC_00003404	0	0.0385	61	26
UTP:GlnB (protein PII) uridylyltransferase (GlnD)	2.375935454	0.123217768	0.645884929	M. intestini	COG2844	GC_00003602	0	0.0385	61	26
Bacterial nucleoid DNA-binding protein IHF-alpha (HimA) (PDB:1B8Z)	2.375935454	0.123217768	0.645884929	M. intestini	COG0776	GC_00004127	0	0.0385	61	26
"Predicted Zn-dependent peptidase, M16 family (PqqL) (PDB:6OFS)"	2.375935454	0.123217768	0.645884929	M. intestini	COG0612	GC_00003475	0	0.0385	61	26
"Lysophospholipase, alpha-beta hydrolase superfamily (PldB) (PDB:5O7G)"	2.375935454	0.123217768	0.645884929	M. intestini	COG2267	GC_00003812	0	0.0385	61	26
tRNA nucleotidyltransferase/poly(A) polymerase (PcnB) (PDB:3WFR)	2.375935454	0.123217768	0.645884929	M. intestini	COG0617	GC_00003851	0	0.0385	61	26
Glucuronate isomerase (UxaC) (PDB:1J5S)	2.375935454	0.123217768	0.645884929	M. intestini	COG1904	GC_00003718	0	0.0385	61	26
"Membrane protease subunit, stomatin/prohibitin family, contains C-terminal Zn-ribbon domain (YdjI)"	2.375935454	0.123217768	0.645884929	M. intestini	COG4260	GC_00003927	0	0.0385	61	26
Endonuclease I (EndA) (PDB:1OUO)	2.375935454	0.123217768	0.645884929	M. intestini	COG2356	GC_00003775	0	0.0385	61	26
Type IV pilus assembly protein FimV (FimV)	2.375935454	0.123217768	0.645884929	M. intestini	COG3170	GC_00003367	0	0.0385	61	26
Siderophore synthetase component IucA/IucC/SbnC (IucA) (PDB:2W02) (PUBMED:19775248)	2.375935454	0.123217768	0.645884929	M. intestini	COG4264	GC_00003283	0	0.0385	61	26
GTP cyclohydrolase I (FolE) (PDB:1A8R) (PUBMED:19767425;30692671)	2.375935454	0.123217768	0.645884929	M. intestini	COG0302	GC_00003467	0	0.0385	61	26
Purine-nucleoside phosphorylase (DeoD) (PDB:1A69)	2.375935454	0.123217768	0.645884929	M. intestini	COG0813	GC_00003869	0	0.0385	61	26
"D-arabinose 5-phosphate isomerase GutQ (GutQ) (PDB:5UQI)!!!Signal-transduction protein containing cAMP-binding, CBS, and nucleotidyltransferase domains"	2.375935454	0.123217768	0.645884929	M. intestini	COG0794!!!COG2905	GC_00003739	0	0.0385	61	26
Dihydrofolate reductase (FolA) (PDB:1DDR)	2.375935454	0.123217768	0.645884929	M. intestini	COG0262	GC_00003942	0	0.0385	61	26
"DNA topoisomerase I, ssDNA-binding Zn-finger and Zn-ribbon domains (YrdD) (PDB:1YUA)"	2.375935454	0.123217768	0.645884929	M. intestini	COG0551	GC_00003316	0	0.0385	61	26
Tetraheme cytochrome c subunit NapC of nitrate or TMAO reductase (NapC)	2.375935454	0.123217768	0.645884929	M. intestini	COG3005	"GC_00003926, GC_00003972"	0	0.0385	61	26
"Uncharacterized conserved protein YjbI, contains pentapeptide repeats (YjbI) (PDB:2BM4)"	2.375935454	0.123217768	0.645884929	M. intestini	COG1357	"GC_00003780, GC_00003928"	0	0.0385	61	26
"Uncharacterized conserved protein YjdB, contains Ig-like domain (YjdB)"	2.375935454	0.123217768	0.645884929	M. intestini	COG5492	GC_00003846	0	0.0385	61	26
"Cell wall-associated hydrolase, NlpC_P60 family (NlpC) (PDB:2EVR)!!!Proteasome lid subunit RPN8/RPN11, contains Jab1/MPN domain metalloenzyme (JAMM) motif (Rri1) (PDB:2O95)"	2.375935454	0.123217768	0.645884929	M. intestini	COG0791!!!COG1310	GC_00004125	0	0.0385	61	26
Ribosomal protein L11 methylase PrmA (PrmA) (PDB:3GRZ)	2.375935454	0.123217768	0.645884929	M. intestini	COG2264	GC_00003660	0	0.0385	61	26
Predicted membrane GTPase TypA/BipA involved in stress response (TypA) (PDB:5A9V)	2.375935454	0.123217768	0.645884929	M. intestini	COG1217	GC_00003580	0	0.0385	61	26
Putative heme-binding protein PhuW (PhuW) (PDB:2G5G) (PUBMED:16950397)	2.375935454	0.123217768	0.645884929	M. intestini	COG3016	GC_00003852	0	0.0385	61	26
Polyprenyltransferase (heme O synthase) (CyoE)	2.375935454	0.123217768	0.645884929	M. intestini	COG0109	GC_00003766	0	0.0385	61	26
"Chromosome segregation protein Spo0J, contains ParB-like nuclease domain (Spo0J) (PDB:1R71)"	2.375935454	0.123217768	0.645884929	M. intestini	COG1475	GC_00004099	0	0.0385	61	26
Altronate dehydratase (UxaA) (PDB:6U7L)	2.375935454	0.123217768	0.645884929	M. intestini	COG2721	GC_00003984	0	0.0385	61	26
"Oxidoreductase (NAD-binding), involved in siderophore biosynthesis (PchG) (PDB:4GMG)"	2.375935454	0.123217768	0.645884929	M. intestini	COG4693	GC_00004028	0	0.0385	61	26
Stress response protein SCP2 (TerZ) (PDB:2QNG)	2.375935454	0.123217768	0.645884929	M. intestini	COG2310	GC_00003351	0	0.0385	61	26
Apolipoprotein N-acyltransferase (Lnt) (PDB:6NWR)	2.375935454	0.123217768	0.645884929	M. intestini	COG0815	GC_00004162	0	0.0385	61	26
Formamidopyrimidine-DNA glycosylase (Nei) (PDB:1EE8)	2.375935454	0.123217768	0.645884929	M. intestini	COG0266	GC_00003742	0	0.0385	61	26
DNA recombination-dependent growth factor RdgC (RdgC) (PDB:2OWL)	2.375935454	0.123217768	0.645884929	M. intestini	COG2974	GC_00004090	0	0.0385	61	26
RecA-family ATPase (RepA)	2.375935454	0.123217768	0.645884929	M. intestini	COG3598	GC_00003881	0	0.0385	61	26
Phosphopantetheine adenylyltransferase (CoaD) (PDB:3F3M)	2.375935454	0.123217768	0.645884929	M. intestini	COG0669	GC_00003832	0	0.0385	61	26
Transposase (InsQ)	2.375935454	0.123217768	0.645884929	M. intestini	COG0675	GC_00003659	0	0.0385	61	26
Transketolase (TktA) (PDB:1AY0)	2.375935454	0.123217768	0.645884929	M. intestini	COG0021	GC_00003995	0	0.0385	61	26
"Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific component IIB (AgaB) (PDB:1BLE)"	2.375935454	0.123217768	0.645884929	M. intestini	COG3444	GC_00003592	0	0.0385	61	26
"Aldo/keto reductase, related to diketogulonate reductase (ARA1) (PDB:1Q13)"	2.375935454	0.123217768	0.645884929	M. intestini	COG0656	GC_00003381	0	0.0385	61	26
"Predicted  kinase, aminoglycoside phosphotransferase (APT) family (YcbJ)"	2.375935454	0.123217768	0.645884929	M. intestini	COG3173	GC_00004085	0	0.0385	61	26
Pyruvate-formate lyase (PflD) (PDB:1CM5)	2.375935454	0.123217768	0.645884929	M. intestini	COG1882	"GC_00003432, GC_00004067"	0	0.0385	61	26
"Serine transporter YbeC, amino acid:H+ symporter family (PotE) (PDB:3LRB)"	2.375935454	0.123217768	0.645884929	M. intestini	COG0531	"GC_00003504, GC_00003781"	0	0.0385	61	26
3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC and related HAD superfamily phosphatases (KdsC) (PDB:3I6B)	2.375935454	0.123217768	0.645884929	M. intestini	COG1778	GC_00003909	0	0.0385	61	26
"Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific IID component (ManZ) (PDB:6K1H)"	2.375935454	0.123217768	0.645884929	M. intestini	COG3716	GC_00003583	0	0.0385	61	26
"Flp pilus assembly protein TadD, contains TPR repeats (TadD) (PDB:3WXX)"	2.375935454	0.123217768	0.645884929	M. intestini	COG5010	GC_00003284	0	0.0385	61	26
"NAD(P)H-nitrite reductase, large subunit (NirB)"	2.375935454	0.123217768	0.645884929	M. intestini	COG1251	GC_00003288	0	0.0385	61	26
Phosphotransferase system sorbitol-specific IIB component (SrlE)	2.375935454	0.123217768	0.645884929	M. intestini	COG3732	GC_00003910	0	0.0385	61	26
Protein-L-isoaspartate O-methyltransferase (Pcm) (PDB:3LBF) (PUBMED:24909784)	2.375935454	0.123217768	0.645884929	M. intestini	COG2518	GC_00003933	0	0.0385	61	26
"Phage-related protein, tail protein J"	2.375935454	0.123217768	0.645884929	M. intestini	COG4733	GC_00003265	0	0.0385	61	26
RecG-like helicase (RecG) (PDB:1GM5)	2.375935454	0.123217768	0.645884929	M. intestini	COG1200	GC_00003734	0	0.0385	61	26
"ABC-type taurine transport system, ATPase component (TauB)"	2.375935454	0.123217768	0.645884929	M. intestini	COG4525	GC_00003513	0	0.0385	61	26
Single-stranded DNA-binding protein (Ssb) (PDB:1EQQ)	2.375935454	0.123217768	0.645884929	M. intestini	COG0629	GC_00003163	0	0.0385	61	26
Beta-galactosidase/beta-glucuronidase (LacZ) (PDB:5N6U) (PUBMED:19291314)	2.375935454	0.123217768	0.645884929	M. intestini	COG3250	"GC_00003435, GC_00003652"	0	0.0385	61	26
"Chaperedoxin CnoX, contains thioredoxin-like and TPR-like domains, YbbN/TrxSC family (CnoX) (PDB:3QDN) (PUBMED:21498507;29754824)!!!Flp pilus assembly protein TadD, contains TPR repeats (TadD) (PDB:3WXX)"	2.375935454	0.123217768	0.645884929	M. intestini	COG3118!!!COG5010	"GC_00003408, GC_00003494"	0	0.0385	61	26
"Translation elongation factor EF-Tu, a GTPase (TufA) (PDB:1EFU)"	2.375935454	0.123217768	0.645884929	M. intestini	COG0050	GC_00003569	0	0.0385	61	26
Fucose permease (FucP) (PDB:3O7P)	2.375935454	0.123217768	0.645884929	M. intestini	COG0738	"GC_00003719, GC_00004001"	0	0.0385	61	26
Outer membrane receptor for ferrienterochelin and colicins (FepA) (PDB:2HDF) (PUBMED:16468998)	2.375935454	0.123217768	0.645884929	M. intestini	COG4771	GC_00003626	0	0.0385	61	26
Adenylylsulfate kinase or related kinase (CysC) (PDB:2GKS)	2.375935454	0.123217768	0.645884929	M. intestini	COG0529	GC_00003536	0	0.0385	61	26
Dipeptidyl aminopeptidase/acylaminoacyl peptidase (DAP2) (PDB:2JBW)	2.375935454	0.123217768	0.645884929	M. intestini	COG1506	GC_00003844	0	0.0385	61	26
Arginine decarboxylase (spermidine biosynthesis) (SpeA) (PDB:3N2O)	2.375935454	0.123217768	0.645884929	M. intestini	COG1166	GC_00003584	0	0.0385	61	26
Post-segregation antitoxin (ccd killing mechanism protein) encoded by the F plasmid (PDB:2ADL)	2.375935454	0.123217768	0.645884929	M. intestini	COG5302	GC_00003285	0	0.0385	61	26
Arginine/lysine/ornithine decarboxylase (LdcC) (PDB:1C4K)	2.375935454	0.123217768	0.645884929	M. intestini	COG1982	GC_00004010	0	0.0385	61	26
Type VI protein secretion system component TssL/VasF/DotU (DotU) (PDB:3U66) (PUBMED:25471186)	2.375935454	0.123217768	0.645884929	M. intestini	COG3455	GC_00003794	0	0.0385	61	26
Sugar phosphate permease (UhpC) (PDB:1PW4)	2.375935454	0.123217768	0.645884929	M. intestini	COG2271	"GC_00003893, GC_00003986, GC_00004016, GC_00004084"	0	0.0385	61	26
"Uncharacterized conserved protein YecM, predicted metalloenzyme (YecM) (PDB:1K4N) (PUBMED:12660999)"	2.375935454	0.123217768	0.645884929	M. intestini	COG3102	GC_00003825	0	0.0385	61	26
Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH (PhnH) (PDB:2FSU)	2.375935454	0.123217768	0.645884929	M. intestini	COG3625	GC_00003702	0	0.0385	61	26
"tRNA(Leu) C34 or U34 (ribose-2'-O)-methylase TrmL, contains SPOUT domain (TrmL) (PDB:4JAK)"	2.375935454	0.123217768	0.645884929	M. intestini	COG0219	GC_00003854	0	0.0385	61	26
Na+/H+ antiporter NhaD or related arsenite permease (ArsB)	2.375935454	0.123217768	0.645884929	M. intestini	COG1055	GC_00004049	0	0.0385	61	26
Na+/melibiose symporter or related transporter (MelB) (PDB:4M64)	2.375935454	0.123217768	0.645884929	M. intestini	COG2211	GC_00003989	0	0.0385	61	26
"Uncharacterized conserved protein, contains a phytase-like domain"	2.375935454	0.123217768	0.645884929	M. intestini	COG4222	GC_00003560	0	0.0385	61	26
S-adenosylmethionine synthetase (MetK) (PDB:1FUG)	2.375935454	0.123217768	0.645884929	M. intestini	COG0192	GC_00003760	0	0.0385	61	26
L-alanine-DL-glutamate epimerase or related enzyme of enolase superfamily (RspA) (PDB:1BKH)	2.375935454	0.123217768	0.645884929	M. intestini	COG4948	"GC_00003637, GC_00004185"	0	0.0385	61	26
