KOfam	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_M_intestini	p_M_smithii	N_M_intestini	N_M_smithii
6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]	0	1	1	NA	K01737	GC_00000966	1	1	26	61
tRNA (guanine26-N2/guanine27-N2)-dimethyltransferase [EC:2.1.1.215 2.1.1.216]	0	1	1	NA	K00555	GC_00001263	1	1	26	61
DNA-directed RNA polymerase subunit K [EC:2.7.7.6]	0	1	1	NA	K03055	GC_00000224	1	1	26	61
energy-converting hydrogenase B subunit A	0	1	1	NA	K14110	GC_00000366	1	1	26	61
4Fe-4S ferredoxin	0	1	1	NA	K11260	"GC_00000298, GC_00000351, GC_00000696, GC_00000789"	1	1	26	61
"geranylgeranyl diphosphate synthase, type I [EC:2.5.1.1 2.5.1.10 2.5.1.29]"	0	1	1	NA	K13787	GC_00001177	1	1	26	61
small subunit ribosomal protein S27e	0	1	1	NA	K02978	GC_00000245	1	1	26	61
GTP-dependent dephospho-CoA kinase [EC:2.7.1.-]	0	1	1	NA	K09735	GC_00000317	1	1	26	61
glutamyl-tRNA(Gln) amidotransferase subunit D [EC:6.3.5.7]	0	1	1	NA	K09482	GC_00001173	1	1	26	61
"dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]"	0	1	1	NA	K01710	GC_00000940	1	1	26	61
endonuclease III [EC:4.2.99.18]	0	1	1	NA	K10773	GC_00000690	1	1	26	61
ATP phosphoribosyltransferase [EC:2.4.2.17]	0	1	1	NA	K00765	GC_00000881	1	1	26	61
aspartate dehydrogenase [EC:1.4.1.21]	0	1	1	NA	K06989	GC_00000411	1	1	26	61
large subunit ribosomal protein L15e	0	1	1	NA	K02877	GC_00000283	1	1	26	61
tRNA threonylcarbamoyladenosine dehydratase	0	1	1	NA	K22132	GC_00001338	1	1	26	61
phosphoglycerol geranylgeranyltransferase [EC:2.5.1.41]	0	1	1	NA	K17104	GC_00000979	1	1	26	61
adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26]	0	1	1	NA	K02233	GC_00001061	1	1	26	61
shikimate dehydrogenase [EC:1.1.1.25]	0	1	1	NA	K00014	GC_00001334	1	1	26	61
UDPglucose 6-dehydrogenase [EC:1.1.1.22]	0	1	1	NA	K00012	GC_00001233	1	1	26	61
argininosuccinate lyase [EC:4.3.2.1]	0	1	1	NA	K01755	GC_00000419	1	1	26	61
2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]	0	1	1	NA	K00176	GC_00000329	1	1	26	61
orotate phosphoribosyltransferase [EC:2.4.2.10]	0	1	1	NA	K00762	"GC_00000568, GC_00000927"	1	1	26	61
O-antigen biosynthesis protein [EC:2.4.1.-]	0	1	1	NA	K20444	"GC_00001114, GC_00001268, GC_00001405, GC_00004183"	1	1	26	61
holliday junction resolvase Hjr [EC:3.1.22.4]	0	1	1	NA	K03552	GC_00000285	1	1	26	61
4-phosphopantoate---beta-alanine ligase [EC:6.3.2.36]	0	1	1	NA	K09722	GC_00000534	1	1	26	61
hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10]	0	1	1	NA	K01641	GC_00000429	1	1	26	61
"RNA 2',3'-cyclic 3'-phosphodiesterase [EC:3.1.4.58]"	0	1	1	NA	K01975	GC_00001059	1	1	26	61
restriction system protein	0	1	1	NA	K07448	"GC_00001035, GC_00002127, GC_00004107"	1	1	26	61
lipopolysaccharide transport system ATP-binding protein	0	1	1	NA	K09691	"GC_00001030, GC_00001310"	1	1	26	61
DNA repair protein SbcD/Mre11	0	1	1	NA	K03547	GC_00001368	1	1	26	61
nucleolar GTP-binding protein	0	1	1	NA	K06943	GC_00000706	1	1	26	61
serine O-acetyltransferase [EC:2.3.1.30]	0	1	1	NA	K00640	GC_00000450	1	1	26	61
ribonuclease J [EC:3.1.-.-]	0	1	1	NA	K12574	GC_00000553	1	1	26	61
GTP cyclohydrolase IIa [EC:3.5.4.29]	0	1	1	NA	K08096	GC_00000346	1	1	26	61
pre-rRNA-processing protein TSR3	0	1	1	NA	K09140	GC_00000303	1	1	26	61
tetrahydromethanopterin S-methyltransferase subunit G [EC:2.1.1.86]	0	1	1	NA	K00583	GC_00000396	1	1	26	61
ribonuclease P protein subunit POP4 [EC:3.1.26.5]	0	1	1	NA	K03538	GC_00000713	1	1	26	61
"dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]"	0	1	1	NA	K01790	GC_00000640	1	1	26	61
energy-converting hydrogenase B subunit H	0	1	1	NA	K14117	GC_00000860	1	1	26	61
"metalloendopeptidase OMA1, mitochondrial [EC:3.4.24.-]"	0	1	1	NA	K23010	GC_00000202	1	1	26	61
moderate conductance mechanosensitive channel	0	1	1	NA	K22044	GC_00001162	1	1	26	61
D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	0	1	1	NA	K00058	GC_00000610	1	1	26	61
citryl-CoA lyase [EC:4.1.3.34]	0	1	1	NA	K15234	GC_00000723	1	1	26	61
XTP/dITP diphosphohydrolase [EC:3.6.1.66]	0	1	1	NA	K02428	GC_00000917	1	1	26	61
energy-converting hydrogenase B subunit O	0	1	1	NA	K14124	GC_00001199	1	1	26	61
UDP-N-acetylglucosamine 3-dehydrogenase [EC:1.1.1.374]	0	1	1	NA	K18855	GC_00000563	1	1	26	61
endoribonuclease Nob1 [EC:3.1.-.-]	0	1	1	NA	K07060	GC_00000775	1	1	26	61
"tRNA-intron endonuclease, archaea type [EC:4.6.1.16]"	0	1	1	NA	K01170	GC_00000357	1	1	26	61
replicative DNA helicase Mcm [EC:3.6.4.-]	0	1	1	NA	K10726	GC_00000379	1	1	26	61
dihydromethanopterin reductase (acceptor) [EC:1.5.99.15]	0	1	1	NA	K18853	GC_00000465	1	1	26	61
UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]	0	1	1	NA	K01791	GC_00001208	1	1	26	61
zinc finger protein	0	1	1	NA	K06874	GC_00000391	1	1	26	61
"riboflavin kinase, archaea type [EC:2.7.1.161]"	0	1	1	NA	K07732	GC_00000434	1	1	26	61
excinuclease ABC subunit B	0	1	1	NA	K03702	GC_00000836	1	1	26	61
gamma-carbonic anhydrase [EC:4.2.1.-]	0	1	1	NA	K01726	"GC_00000375, GC_00003912"	1	1	26	61
heterodisulfide reductase subunit D [EC:1.8.98.1]	0	1	1	NA	K08264	GC_00001001	1	1	26	61
energy-converting hydrogenase A subunit H	0	1	1	NA	K14099	GC_00000541	1	1	26	61
tRNA (cmo5U34)-methyltransferase [EC:2.1.1.-]	0	1	1	NA	K15256	GC_00001394	1	1	26	61
spore coat protein D	0	1	1	NA	K06327	GC_00000020	1	1	26	61
DNA repair protein NreA	0	1	1	NA	K22585	GC_00000963	1	1	26	61
2-isopropylmalate synthase [EC:2.3.3.13]	0	1	1	NA	K01649	GC_00000458	1	1	26	61
diaminopimelate decarboxylase [EC:4.1.1.20]	0	1	1	NA	K01586	GC_00000978	1	1	26	61
dihydroorotate dehydrogenase (NAD+) catalytic subunit [EC:1.3.1.14]	0	1	1	NA	K17828	GC_00001176	1	1	26	61
leucyl-tRNA synthetase [EC:6.1.1.4]	0	1	1	NA	K01869	GC_00000193	1	1	26	61
energy-converting hydrogenase B subunit I	0	1	1	NA	K14118	GC_00000401	1	1	26	61
DNA topoisomerase VI subunit A [EC:5.6.2.2]	0	1	1	NA	K03166	GC_00000330	1	1	26	61
DNA-directed RNA polymerase subunit H [EC:2.7.7.6]	0	1	1	NA	K03053	GC_00000336	1	1	26	61
2-(3-amino-3-carboxypropyl)histidine synthase [EC:2.5.1.108]	0	1	1	NA	K07561	GC_00000919	1	1	26	61
geranylgeranylglycerol-phosphate geranylgeranyltransferase [EC:2.5.1.42]	0	1	1	NA	K17105	GC_00000684	1	1	26	61
fumarate hydratase subunit alpha [EC:4.2.1.2]	0	1	1	NA	K01677	GC_00001127	1	1	26	61
ribonuclease P/MRP protein subunit RPP1 [EC:3.1.26.5]	0	1	1	NA	K03539	GC_00000190	1	1	26	61
formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]	0	1	1	NA	K00202	GC_00000370	1	1	26	61
methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63]	0	1	1	NA	K00567	GC_00001308	1	1	26	61
dCTP deaminase [EC:3.5.4.13]	0	1	1	NA	K01494	"GC_00000759, GC_00002303, GC_00002836"	1	1	26	61
lipid II isoglutaminyl synthase (glutamine-hydrolysing) [EC:6.3.5.13]	0	1	1	NA	K23393	"GC_00000172, GC_00000941, GC_00001346"	1	1	26	61
molybdopterin molybdotransferase [EC:2.10.1.1]	0	1	1	NA	K03750	"GC_00001105, GC_00001159"	1	1	26	61
"UDP-N-acetylglucosamine 4,6-dehydratase/5-epimerase [EC:4.2.1.115 5.1.3.-]"	0	1	1	NA	K15894	GC_00000296	1	1	26	61
small subunit ribosomal protein S11	0	1	1	NA	K02948	GC_00000216	1	1	26	61
adenosylcobinamide hydrolase [EC:3.5.1.90]	0	1	1	NA	K08260	GC_00001281	1	1	26	61
diaminopimelate epimerase [EC:5.1.1.7]	0	1	1	NA	K01778	GC_00001198	1	1	26	61
"CopG family transcriptional regulator, nickel-responsive regulator"	0	1	1	NA	K07722	GC_00000721	1	1	26	61
nitrogen regulatory protein P-II 1	0	1	1	NA	K04751	GC_00000292	1	1	26	61
sulfopyruvate decarboxylase subunit alpha [EC:4.1.1.79]	0	1	1	NA	K06034	GC_00000704	1	1	26	61
DNA-directed RNA polymerase subunit D [EC:2.7.7.6]	0	1	1	NA	K03047	GC_00000814	1	1	26	61
spore coat polysaccharide biosynthesis protein SpsF	0	1	1	NA	K07257	GC_00001293	1	1	26	61
histidyl-tRNA synthetase [EC:6.1.1.21]	0	1	1	NA	K01892	GC_00000010	1	1	26	61
tyrosyl-tRNA synthetase [EC:6.1.1.1]	0	1	1	NA	K01866	GC_00000150	1	1	26	61
methanol corrinoid protein	0	1	1	NA	K14081	GC_00000716	1	1	26	61
acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]	0	1	1	NA	K00821	"GC_00001039, GC_00003606"	1	1	26	61
argininosuccinate synthase [EC:6.3.4.5]	0	1	1	NA	K01940	GC_00000679	1	1	26	61
acetate---CoA ligase (ADP-forming) [EC:6.2.1.13]	0	1	1	NA	K24012	GC_00001049	1	1	26	61
MoxR-like ATPase [EC:3.6.3.-]	0	1	1	NA	K03924	"GC_00000778, GC_00004146"	1	1	26	61
large subunit ribosomal protein L37Ae	0	1	1	NA	K02921	GC_00000255	1	1	26	61
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]	0	1	1	NA	K07142	GC_00001064	1	1	26	61
cobaltochelatase CobN [EC:6.6.1.2]	0	1	1	NA	K02230	"GC_00001410, GC_00001661, GC_00003401"	1	1	26	61
lipopolysaccharide transport system permease protein	0	1	1	NA	K09690	"GC_00000589, GC_00001080"	1	1	26	61
molybdopterin adenylyltransferase [EC:2.7.7.75]	0	1	1	NA	K03638	GC_00000345	1	1	26	61
5-methylthioadenosine/S-adenosylhomocysteine deaminase [EC:3.5.4.31 3.5.4.28]	0	1	1	NA	K12960	GC_00000661	1	1	26	61
CRISP-associated protein Cas1	0	1	1	NA	K15342	"GC_00000050, GC_00001558, GC_00001723, GC_00001923"	1	1	26	61
putative tributyrin esterase [EC:3.1.1.-]	0	1	1	NA	K03930	GC_00001354	1	1	26	61
FdhD protein	0	1	1	NA	K02379	"GC_00001398, GC_00001477, GC_00001868"	1	1	26	61
myo-inositol-1-phosphate synthase [EC:5.5.1.4]	0	1	1	NA	K01858	GC_00001087	1	1	26	61
energy-converting hydrogenase A subunit J	0	1	1	NA	K14101	GC_00000769	1	1	26	61
"drug/metabolite transporter, DME family"	0	1	1	NA	K03298	GC_00001094	1	1	26	61
archaetidylinositol phosphate synthase [EC:2.7.8.39]	0	1	1	NA	K17884	GC_00001182	1	1	26	61
archaeal cell division control protein 6	0	1	1	NA	K10725	"GC_00000365, GC_00000906"	1	1	26	61
inorganic pyrophosphatase [EC:3.6.1.1]	0	1	1	NA	K01507	GC_00000393	1	1	26	61
methanogen homoisocitrate dehydrogenase [EC:1.1.1.87 1.1.1.-]	0	1	1	NA	K10978	GC_00001118	1	1	26	61
V/A-type H+/Na+-transporting ATPase subunit I	0	1	1	NA	K02123	GC_00001322	1	1	26	61
diphthine synthase [EC:2.1.1.98]	0	1	1	NA	K20215	GC_00000192	1	1	26	61
exosome complex component RRP4	0	1	1	NA	K03679	GC_00000670	1	1	26	61
energy-converting hydrogenase A subunit B	0	1	1	NA	K14093	GC_00000892	1	1	26	61
biopolymer transport protein ExbB	0	1	1	NA	K03561	"GC_00000142, GC_00000327"	1	1	26	61
ATP-binding protein involved in chromosome partitioning	0	1	1	NA	K03593	GC_00000423	1	1	26	61
ATP-dependent Lon protease [EC:3.4.21.53]	0	1	1	NA	K04076	GC_00000432	1	1	26	61
quinolinate synthase [EC:2.5.1.72]	0	1	1	NA	K03517	GC_00000739	1	1	26	61
phosphoribosylformylglycinamidine synthase subunit PurQ / glutaminase [EC:6.3.5.3 3.5.1.2]	0	1	1	NA	K23265	GC_00000431	1	1	26	61
fibrillarin-like pre-rRNA processing protein	0	1	1	NA	K04795	GC_00000864	1	1	26	61
arylformamidase [EC:3.5.1.9]	0	1	1	NA	K07130	GC_00000931	1	1	26	61
nucleoside kinase [EC:2.7.1.73 2.7.1.213 2.7.1.-]	0	1	1	NA	K22026	GC_00000957	1	1	26	61
formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12]	0	1	1	NA	K00203	GC_00000281	1	1	26	61
L-2-hydroxycarboxylate dehydrogenase (NAD+) [EC:1.1.1.337]	0	1	1	NA	K05884	GC_00000718	1	1	26	61
carbonic anhydrase [EC:4.2.1.1]	0	1	1	NA	K01673	GC_00000642	1	1	26	61
exosome complex component RRP42	0	1	1	NA	K12589	GC_00000764	1	1	26	61
dTMP kinase [EC:2.7.4.9]	0	1	1	NA	K00943	"GC_00000084, GC_00001119"	1	1	26	61
NitT/TauT family transport system permease protein	0	1	1	NA	K02050	GC_00000784	1	1	26	61
"CsoR family transcriptional regulator, copper-sensing transcriptional repressor"	0	1	1	NA	K21600	GC_00000856	1	1	26	61
molybdenum cofactor guanylyltransferase [EC:2.7.7.77]	0	1	1	NA	K03752	GC_00001194	1	1	26	61
UDP-galactopyranose mutase [EC:5.4.99.9]	0	1	1	NA	K01854	GC_00000923	1	1	26	61
LemA protein	0	1	1	NA	K03744	"GC_00000130, GC_00000547"	1	1	26	61
precorrin-8X/cobalt-precorrin-8 methylmutase [EC:5.4.99.61 5.4.99.60]	0	1	1	NA	K06042	GC_00000575	1	1	26	61
small subunit ribosomal protein S7	0	1	1	NA	K02992	GC_00000243	1	1	26	61
mgtE-like transporter	0	1	1	NA	K07244	GC_00001086	1	1	26	61
2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	0	1	1	NA	K00174	GC_00000520	1	1	26	61
tRNA pseudouridine synthase 10 [EC:5.4.99.25]	0	1	1	NA	K07583	GC_00001068	1	1	26	61
isopentenyl phosphate kinase [EC:2.7.4.26]	0	1	1	NA	K06981	GC_00000540	1	1	26	61
methylenetetrahydromethanopterin dehydrogenase [EC:1.5.98.1]	0	1	1	NA	K00319	GC_00000612	1	1	26	61
6-phospho-3-hexuloisomerase [EC:5.3.1.27]	0	1	1	NA	K08094	GC_00000781	1	1	26	61
endonuclease [EC:3.1.-.-]	0	1	1	NA	K07503	GC_00000462	1	1	26	61
"cyclic 2,3-diphosphoglycerate synthase [EC:6.5.1.9]"	0	1	1	NA	K05716	GC_00000148	1	1	26	61
S2P endopeptidase [EC:3.4.24.85]	0	1	1	NA	K07765	GC_00000149	1	1	26	61
tetrahydromethanopterin S-methyltransferase subunit C [EC:2.1.1.86]	0	1	1	NA	K00579	GC_00001272	1	1	26	61
seryl-tRNA synthetase [EC:6.1.1.11]	0	1	1	NA	K01875	GC_00000574	1	1	26	61
hydroxymethylbilane synthase [EC:2.5.1.61]	0	1	1	NA	K01749	GC_00000790	1	1	26	61
phosphopantothenate---cysteine ligase (CTP) [EC:6.3.2.5]	0	1	1	NA	K21977	GC_00000899	1	1	26	61
dihydroneopterin aldolase [EC:4.1.2.25]	0	1	1	NA	K09739	GC_00000613	1	1	26	61
"MFS transporter, DHA2 family, multidrug resistance protein"	0	1	1	NA	K08169	"GC_00001252, GC_00001470, GC_00001759"	1	1	26	61
pyrroline-5-carboxylate reductase [EC:1.5.1.2]	0	1	1	NA	K00286	GC_00000109	1	1	26	61
V/A-type H+/Na+-transporting ATPase subunit B	0	1	1	NA	K02118	GC_00000274	1	1	26	61
DNA-directed RNA polymerase subunit A' [EC:2.7.7.6]	0	1	1	NA	K03041	GC_00000073	1	1	26	61
tryptophanyl-tRNA synthetase [EC:6.1.1.2]	0	1	1	NA	K01867	GC_00001211	1	1	26	61
threonyl-tRNA synthetase [EC:6.1.1.3]	0	1	1	NA	K01868	GC_00001254	1	1	26	61
methylthioribose-1-phosphate isomerase [EC:5.3.1.23]	0	1	1	NA	K08963	GC_00001188	1	1	26	61
methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1]	0	1	1	NA	K00399	GC_00000094	1	1	26	61
phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]	0	1	1	NA	K01890	GC_00001386	1	1	26	61
peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]	0	1	1	NA	K07304	GC_00000188	1	1	26	61
DEAD/DEAH box helicase domain-containing protein	0	1	1	NA	K06877	GC_00001396	1	1	26	61
large subunit ribosomal protein L15	0	1	1	NA	K02876	GC_00000310	1	1	26	61
putative transcriptional regulator	0	1	1	NA	K07730	"GC_00000521, GC_00000617, GC_00001427"	1	1	26	61
DNA repair protein RadB	0	1	1	NA	K04484	GC_00000538	1	1	26	61
F420-non-reducing hydrogenase iron-sulfur subunit [EC:1.12.99.- 1.8.98.5 1.8.98.6]	0	1	1	NA	K14127	GC_00000033	1	1	26	61
"HTH-type transcriptional regulator, global nitrogen regulator NrpRI"	0	1	1	NA	K09720	GC_00001311	1	1	26	61
proteasome alpha subunit [EC:3.4.25.1]	0	1	1	NA	K03432	GC_00000564	1	1	26	61
trk system potassium uptake protein	0	1	1	NA	K03499	"GC_00000766, GC_00001375"	1	1	26	61
NitT/TauT family transport system ATP-binding protein	0	1	1	NA	K02049	GC_00000792	1	1	26	61
heterodisulfide reductase subunit A2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]	0	1	1	NA	K03388	GC_00000915	1	1	26	61
uroporphyrinogen-III synthase [EC:4.2.1.75]	0	1	1	NA	K01719	GC_00000682	1	1	26	61
archaeal flagellar protein FlaI	0	1	1	NA	K07332	GC_00001309	1	1	26	61
L-aspartate semialdehyde sulfurtransferase [EC:2.8.1.16]	0	1	1	NA	K23975	GC_00000175	1	1	26	61
queuosine precursor transporter	0	1	1	NA	K09125	"GC_00000103, GC_00001023"	1	1	26	61
phosphoribosylformylglycinamidine synthase subunit PurL [EC:6.3.5.3]	0	1	1	NA	K23269	GC_00001291	1	1	26	61
translation initiation factor 1A	0	1	1	NA	K03236	GC_00000546	1	1	26	61
